date,irradiance
20250101,2.592
20250102,2.7367
20250103,2.2169
20250104,2.6278
20250105,0.9662
20250106,1.8382
20250107,2.1502
20250108,2.2486
20250109,2.6417
20250110,2.8495
20250111,2.8399
20250112,2.5517
20250113,1.765
20250114,1.8703
20250115,3.1262
20250116,1.5521
20250117,3.1238
20250118,2.4629
20250119,1.9598
20250120,1.4184
20250121,2.0482
20250122,2.3254
20250123,3.2566
20250124,3.1284
20250125,3.2189
20250126,1.5487
20250127,1.9618
20250128,1.571
20250129,2.8469
20250130,2.0419
20250131,0.8206
